?
A-7D Corsair
Dornier 228-201
Dornier 228-202
Dornier 228-212
Dornier 328-110
Dornier DO-228-212
Dornier DO.18
Dornier Do-228-101
Dornier Do-228-212
Dornier Do-288-201
Dornier Merkur
Dornier Wal
Doublas C-47
Doublas Dc-3
Douglas A-26B Invader
Douglas C- C47A-30DK
Douglas C-118A
Douglas C-118A / Lockheed P2V-5F
Douglas C-124A Globemaster
Douglas C-124A Globemaster II
Douglas C-124A-DL
Douglas C-124C
Douglas C-124C / Fairchild C-119C
Douglas C-124C Globemaster
Douglas C-133A
Douglas C-39-DO  (DC-2)
Douglas C-46A-CU ( DC-3)
Douglas C-47
Douglas C-47 (DC-3)
Douglas C-47 / Douglas DC-3
Douglas C-47 Dakota
Douglas C-47 Dakota-DK
Douglas C-47-A-75-DL Skytrain
Douglas C-47-DK
Douglas C-47-DL
Douglas C-47-DL (DC-3)
Douglas C-47A
Douglas C-47A (DC-3)
Douglas C-47A Dakota
Douglas C-47A-1
Douglas C-47A-1-DK
Douglas C-47A-10-DK
Douglas C-47A-15-DK
Douglas C-47A-20-DL
Douglas C-47A-25
Douglas C-47A-25-DK
Douglas C-47A-30
Douglas C-47A-30-DK
Douglas C-47A-30-DK (DC-3C)
Douglas C-47A-30-DK Dakota III
Douglas C-47A-35-DL
Douglas C-47A-5-DK
Douglas C-47A-50-DL
Douglas C-47A-60-DL
Douglas C-47A-75-DL Dakota 3
Douglas C-47A-80-DL
Douglas C-47A-90 (DC-3)
Douglas C-47A-90 DL (DC-3)
Douglas C-47A-90-DL
Douglas C-47A-DK
Douglas C-47A-DL
Douglas C-47B
Douglas C-47B-15-DK
Douglas C-47B-25-DK
Douglas C-47B-40-DK
Douglas C-47B-5-DK
Douglas C-47B-DK
Douglas C-47B-dK
Douglas C-47D
Douglas C-47DL
Douglas C-47J
Douglas C-48
Douglas C-49E
Douglas C-53
Douglas C-53-DO (DC-3A)
Douglas C-53D-DO
Douglas C-53D-DO (DC-3)
Douglas C-54
Douglas C-54 Skymaster
Douglas C-54-DO (DC-4)
Douglas C-54A
Douglas C-54A-1-DO
Douglas C-54A-1-DO Skymaster
Douglas C-54A-10-DC
Douglas C-54A-5-DC
Douglas C-54A-DC
Douglas C-54A-DC (DC-4)
Douglas C-54A-DO
Douglas C-54A-DO (DC-4)
Douglas C-54B
Douglas C-54B / P-38
Douglas C-54B-1-DC
Douglas C-54B-10-DO
Douglas C-54B-15-DO
Douglas C-54B-5-DO
Douglas C-54D
Douglas C-54D-1-DC
Douglas C-54D-DC (DC-4)
Douglas C-54E
Douglas C-54E-5-DO
Douglas C-54E-DO (DC-4)
Douglas C-54G
Douglas C-54G (DC-4)
Douglas C-54P
Douglas C-74
Douglas C124-DL Globemaster II
Douglas C188-B
Douglas C47
Douglas C47-TP
Douglas C54A
Douglas C54E-DO (DC-4)
Douglas DC 3-A-SB-3-G-14
Douglas DC-118
Douglas DC-2
Douglas DC-2-112
Douglas DC-2-115A
Douglas DC-2-115B
Douglas DC-2-115E
Douglas DC-2-115H
Douglas DC-2-115L
Douglas DC-2-120
Douglas DC-2-172
Douglas DC-2-221
Douglas DC-2-243
Douglas DC-3
Douglas DC-3 ( C-47-DO)
Douglas DC-3 ( C-53D-DO)
Douglas DC-3 (C-47)
Douglas DC-3 (C-47-A5-DL)
Douglas DC-3 (C-47-B-1-DK)
Douglas DC-3 (C-47-DL)
Douglas DC-3 (C-47A-30-DK)
Douglas DC-3 (C-47A-70-DL)
Douglas DC-3 (C-47A-90-DL)
Douglas DC-3 (C-47A-DK)
Douglas DC-3 (C-47A-DL)
Douglas DC-3 (C-47B-DK)
Douglas DC-3 (C-47DL)
Douglas DC-3 (C-47DL) /Vultee BT-13
Douglas DC-3 (C-50A-DO)
Douglas DC-3 (C-53-DO)
Douglas DC-3 (C-53D-DO)
Douglas DC-3 (C-54A-DO)
Douglas DC-3 (C47-DL)
Douglas DC-3 (Douglas C-47A-10-DK)
Douglas DC-3 -201D/ F-6-F- 5 Hellcat
Douglas DC-3 / Avro Anson
Douglas DC-3 / Cessna 170B
Douglas DC-3 / Douglas DC-3
Douglas DC-3 / Lockheed B-34
Douglas DC-3 / Piper PA-18A
Douglas DC-3 / USN R4-D6
Douglas DC-3 Dakota
Douglas DC-3(C-47A-DL)
Douglas DC-3-178
Douglas DC-3-194H
Douglas DC-3-201C /  Army A-26
Douglas DC-3-201E
Douglas DC-3-201F
Douglas DC-3-227B
Douglas DC-3-3
Douglas DC-3-313
Douglas DC-3-313A
Douglas DC-3-3A
Douglas DC-3-455
Douglas DC-3-A-269
Douglas DC-3-DST
Douglas DC-3A
Douglas DC-3A-178
Douglas DC-3A-197D
Douglas DC-3A-228D
Douglas DC-3C
Douglas DC-3C (C-47A-DK)
Douglas DC-3C (C47A-DL)
Douglas DC-3D
Douglas DC-3DST
Douglas DC-3F
Douglas DC-4
Douglas DC-4  (C-54-10-DO)
Douglas DC-4 (C-54)
Douglas DC-4 (C-54-DO)
Douglas DC-4 (C-54A-DO)
Douglas DC-4 (C-54G-1-DO)
Douglas DC-4 / USAF F-4E
Douglas DC-4 /Beechcraft SMB-1
Douglas DC-4-1009
Douglas DC-47
Douglas DC-4A
Douglas DC-5
Douglas DC-6
Douglas DC-6 / RAF York
Douglas DC-6-54B
Douglas DC-6A
Douglas DC-6AB
Douglas DC-6B
Douglas DC-6BF
Douglas DC-7
Douglas DC-7 / F-100F
Douglas DC-7 / Lockheed S Constellation
Douglas DC-7-C
Douglas DC-7B
Douglas DC-7B / U.S. Air Force F-89J
Douglas DC-7BF
Douglas DC-7C
Douglas DC-7CF
Douglas DC-8
Douglas DC-8-43F
Douglas DC-8-51
Douglas DC-8-52
Douglas DC-8-54F
Douglas DC-8-55F
Douglas DC-9-15F
Douglas DC-9-31 /Cessna 206
Douglas DC-C-54A
Douglas DC3-G102
Douglas DC6B
Douglas DC9-15F
Douglas DF-151
Douglas DST-A-207A
Douglas EC-54U
Douglas M-3
Douglas M-4
Douglas MC-54M
Douglas R4D-6
Douglas R5D-3
Douglas R5D2
Douglas R6D-1 (C-118B)
Douglas R6D-1 (DC-6)
Douglas VC-47A
EC-121H (Super Constellation)
EMB 721C Sertanejo
EMB 810C Seneca
EMB 820C Navajo
Embraer 110 Bandeirante
Embraer 110 P1 Bandeirante
Embraer 110C Bandeirante
Embraer 110EJ Band./Embraer 110P Band.
Embraer 110P Bandeirante
Embraer 110P1 Bandeirante
Embraer 110P1A Bandeirante
Embraer 110P2 Bandeirante
Embraer 120 Brasilia
Embraer 120-RT Brasilia
Embraer 120ER Brasilia
Embraer 120RT Brasilia
Embraer 120RT- Brasilia
Embraer 721C Sertanejo
Embraer 820C Navajo
Embraer C-95 Bandeirante
Embraer C-95C Bandeirante
Embraer EMB 820C Navajo (Piper 31)
Embraer EMB-110 Bandeirante
Embraer EMB-110C Bandeirante
Embraer EMB-110P1 Bandeirant
Embraer EMB-120 Brasilia
Embraer ERJ-190-100LR
Embraer ERJ-190AR
Embraer-110 C-95B Bandeirante
Embraer/Piper EMB-810C Seneca
Enstrom F-28F
Eurocopter  AS332L2 Super Puma
Eurocopter AS 332L2 Super Puma 2
Eurocopter AS 350B2
Eurocopter AS-350-BA
Eurocopter AS-350BA
Eurocopter AS-350BA / Piper PA-32R-300
Eurocopter AS350-B2
Eurocopter AS350B2
Eurocopter AS350D Astar
Eurocopter Deutschland BK117C1
Eurocopter EC 130B4
Eurocopter EC-130 B4
Eurocopter EC135 T2
Eurocopter EC225LP Super Puma M2+
Evangel 4500
F-4C Phantom jet fighter
F-86 Sabrejet
F-88 Sabre Jet
FIAT G-212CP
Fairchild
Fairchild 51
Fairchild 71
Fairchild 71(amphibious)
Fairchild C-110F
Fairchild C-119
Fairchild C-119C
Fairchild C-119C-15-FA Flying Boxcar
Fairchild C-119C-23-FA Flying Boxcar
Fairchild C-119G
Fairchild C-119G / Fairchild C-119
Fairchild C-123
Fairchild C-123 Provider
Fairchild C-123B
Fairchild C-123C
Fairchild C-123K
Fairchild C-199G
Fairchild C-82
Fairchild C-82 Packet
Fairchild C-82A
Fairchild C119G / Fairchild C119G
Fairchild C123
Fairchild C123K
Fairchild F-27
Fairchild F-27 / Cessna 310
Fairchild F-27A
Fairchild F-27B
Fairchild F-27J
Fairchild F-27M
Fairchild FC-2
Fairchild FC-2W
Fairchild FH-227B
Fairchild FH-227E
Fairchild FH-227H
Fairchild Hiller FH-227B
Fairchild Hiller FH1100
Fairchild Pilgrim 100A
Fairchild R4Q / Dougas AD-6 skyraider
Fairchild R4Q-2
Fairchild SA227-TT
Fairchild packet (C119 flying boxcar)
Fairchild-Hiller FH-227-B
Fairchild-Hiller FH-227B
Fairchild-Hiller FH-227B-LCD
Fairchild-Hiller FH-227D/LCD
Fairchild-Hiller FH227C
Fairey Firefly MK1
Farman 190
Farman F-121 Jabiru
Farman F-190
Farman F-224
Farman F-300
Farman F-301
Farman F-306
Farman F-40
Farman F-60 Goliath
Farman F-63
Faucett F-19
Fiat G.212CP
Five Grumman TBM Avengers
Fletcher FU-24-954
Focke-Wulf A-17
Focke-Wulf FW 200
Fokker (KLM)  F.III
Fokker (KLM) F.III
Fokker 100
Fokker 27 Friendship 200
Fokker 28 Fellowship 1000
Fokker 50
Fokker F-10
Fokker F-10A
Fokker F-12
Fokker F-27 Friendship 100
Fokker F-27 Friendship 200
Fokker F-27 Friendship 300
Fokker F-27 Friendship 400
Fokker F-27 Friendship 400M
Fokker F-27 Friendship 500
Fokker F-27 Friendship 500F
Fokker F-27 Friendship 600
Fokker F-27 Friendship 600RF
Fokker F-27 MK 500
Fokker F-28 Fellowship 1000
Fokker F-28 Fellowship 1000 / MiG-21
Fokker F-28 Fellowship 2000
Fokker F-28 Fellowship 3000
Fokker F-28 Fellowship 3000RC
Fokker F-28 Fellowship 4000
Fokker F-50
Fokker F-III
Fokker F-VII
Fokker F-VIIA
Fokker F-VIIB
Fokker F-VIII
Fokker F-VIIb-3M
Fokker F-VIIb-3m
Fokker F-X
Fokker F-XII
Fokker F-XXII
Fokker F.III
Fokker F10A Trimotor
Fokker F27 Friendship 100
Fokker F7
Fokker FG II
Fokker FG III
Fokker Super Universal
Fokker Universal
Fokker Universal F-14
Ford 4
Ford 4-AT-B Tri Motor
Ford 4-AT-E Tri-motor
Ford 5
Ford 5-AT Tri-Motor
Ford 5-AT-B Tri Motor
Ford 5-AT-B Tri-Motor
Ford 5-AT-B Tri-Motor / B-PW-9D
Ford 5-AT-C Tri Motor
Ford 5-AT-C Tri-Motor
Ford 5-AT-D
Ford 5-AT-D Tri-Motor
Ford Tri-Motor
Ford Tri-Motor / Ford Tri-Motor
Ford Tri-Motor 5
Ford Tri-motor
Ford Tri-motor 4
Ford Tri-motor 5
Ford Tri-motor F-VIII
Ford model 4-AT-E
GAF N22B Nomad
GAF Nomad 22B
GAF Nomad N-22
GAF Nomad N-22B
GAF Nomad N-22C
GAF Nomad N-24A
GAF Nomad N24A
GD F-16D / Lockheed C-130E
Gates Lear 25
Gates Learjet 23
Gates Learjet 24B
Gates Learjet 25
Gates Learjet 25B
Gates Learjet 25D
Gates Learjet 35
Gates Learjet 35A
Gates Learjet 45
General 102-E
General Aviation GA-43
Goodyear ZPG-3W (airship)
Goodyear-Zeppelin U.S.S. Akron (airship)
Grazhdansky Vozdushnyi Flot
Grumman C-2A
Grumman G-159 Gulfstream I
Grumman G-21
Grumman G-21 Goose
Grumman G-21A
Grumman G-21A Goose
Grumman G-21A seaplane
Grumman G-44A
Grumman G-73 Mallard
Grumman G-73T Turbo Mallard
Grumman G73T Turbo Mallard
Grumman Gulfstream G3
Grumman Gulfstream II
Grummand EA-6B
Grummand Gulfstream III
Gulfstream AC-680F
Gulfstream Aerospace G-1159
H-21B
HAL-748-224
HAL-748-224 Srs.2
HBB HFB-320 Hansa Jet
HESA IrAn-140-100
HESA Iran-140-100
HS-125-700B
Hadley Page 137Jetstream I / Cessna 206
Hamilton H-47
Handley Page Dart Herald 201
Handley Page Dart Herald 202
Handley Page Dart Herald 207
Handley Page Dart Herald 400
Handley Page HP-1 Hermes
Handley Page HP-16
Handley Page HP-42
Handley Page HP-57 Halifax
Handley Page HP-81 Hermes 4A
Handley Page HP-81 Hermes IV
Handley Page HPR-7 Herald 101
Handley Page HPR-7 Herald 211
Handley Page HPR-7 Herald 214
Handley Page Halifax C-8
Handley Page Hastings C Mark 1
Handley Page Hastings C-2
Handley Page Jetstream 1
Handley Page O/10
Handley Page W-10
Handley Page W-8
Harbin Yunshuji Y-12 II
Harbin Yunshuji Y-12-II
Hawker 800A
Hawker Hunter
Hawker Siddeley  Avro 748-215
Hawker Siddeley HS 125-400B (3)
Hawker Siddeley HS 748-260
Hawker Siddeley HS-121 Trident 2E
Hawker Siddeley HS-125
Hawker Siddeley HS-125-403B
Hawker Siddeley HS-748
Hawker Siddeley HS-748 1
Hawker Siddeley HS-748 2
Hawker Siddeley HS-748 2A
Hawker Siddeley HS-748-1
Hawker Siddeley HS-748-2
Hawker Siddeley HS-748-209
Hawker Siddeley HS-748-209 Srs. 2
Hawker Siddeley HS-748-215-2
Hawker Siddeley HS-748-230 Srs. 2A
Hawker Siddeley HS-748-234
Hawker Siddeley HS-748-234 Srs. 2A
Hawker Siddeley HS-748-235 Srs. 2A
Hawker Siddeley HS-748-246
Hawker Siddeley HS-748-2A
Hawker Siddeley HS-748-329 Srs. 2A
Hawker Siddeley HS-748-353 Srs.2a
Hawker Siddeley HS-748-357/2B SCD
Hawker Siddeley HS-748-372
Hawker Siddeley HS-748-435 Srs. 2
Hawker Siddeley HS-748-501 Super 2B
Hawker Siddeley HS-748-FAA
Hawker Siddeley Trident 1C
Hawker Siddeley Trident 2E
Hawker Siddeley Trident 2E /  II-28
Hawker-Siddeley DH-125-1A/522
Heinkel 116
Heinkel HE-2
Heinkel He-111
Heinkel He-111V2
Heinkel He-70
Helicopter, Hughes 369HS
Helicopter?
Helo 295
Hiller FH1100
Hindustan Aeronautics 748 2-224
Hindustan Aeronautics 748-2
Hindustan Aeronautics 748-2M
Howard 250
Hughes 269B
Hughes 369D
Hughes 369HS
IAI 1124 Westwind
IAI 1124A Westwind
IAI Arava 201
IAI Attava 201
IPTN 332C Super Puma
Illyushin 76
Ilushin IL-14
Ilushin Il-14
Ilushin Il-76TD
Iluyshin Il-86
Ilysushin Il-76T
Ilysushin Il-76TD
Ilyushin 114T
Ilyushin 14
Ilyushin 14M
Ilyushin 14P
Ilyushin 18V
Ilyushin 76-TD
Ilyushin 76MD
Ilyushin 76TD
Ilyushin II-14P
Ilyushin II-76
Ilyushin II-76TD
Ilyushin IL -12
Ilyushin IL- 76TD
Ilyushin IL-12
Ilyushin IL-12B
Ilyushin IL-14
Ilyushin IL-14M
Ilyushin IL-14M / Antonov An-12BP
Ilyushin IL-14P
Ilyushin IL-18
Ilyushin IL-18A
Ilyushin IL-18B
Ilyushin IL-18D
Ilyushin IL-18E
Ilyushin IL-18L
Ilyushin IL-18M
Ilyushin IL-18V
Ilyushin IL-2
Ilyushin IL-38 / Ilyushin IL-38
Ilyushin IL-62
Ilyushin IL-62M
Ilyushin IL-62MK
Ilyushin IL-76
Ilyushin IL-76 / Mi-8 (helicopter)
Ilyushin IL-76M
Ilyushin IL-76MD
Ilyushin IL-76T
Ilyushin IL-76TD
Ilyushin Il-14
Ilyushin Il-14P
Ilyushin Il-62M
Ilyushin Il-76
Ilyushin Il-76MD
Ilyushin Il-76T
Ilyushin Il-76TD
Ilyushin Il12
Ilyushin P-14
Ilyushin76TD
Iran Aseman Airlines
Israel Aircraft Industries 1124A
Junkers 52/3m
Junkers F-13
Junkers F-13ge
Junkers G-23
Junkers G-24
Junkers G-31
Junkers JL-6
Junkers JU-160
Junkers JU-5/-3m
Junkers JU-52
Junkers JU-52/3m
Junkers JU-52/3mge
Junkers JU-53/3m
Junkers JU-86
Junkers JU-90A-1
Junkers JU.52
Junkers JU52/3m
Junkers JU86 Z-2
Junkers JU90V2
Junkers Ju-52
Junkers Ju-52/3m
Junkers Ju53/2m
Junkers W-33
Junkers W-34
KB-50
KC-135
KJ-2000
Kalinin K-4
Kalinin K-7
Kawasaki C-1 / Kawasaki C-1
Kawasaki C-1A
Koolhoven FK.43
Kubicek BB85Z Hot Air Balloon
L-100-20
L-Hudson
LET  410M Turbojet
LET 410 M
LET 410M turbojet
LET 410MT Turbojet
LET 410UVP
LET 410UVP-E
LTVF-8J
LVG C VI
Lasco Lascowl
Latecoere 25
Latecoere 25-3-R
Latecoere 26
Latecoere 28
Latecoere 28-1
Latecoere 301 (flying boat)
Latecoere 32
Latecoere 631
Latecoere 631 (flying boat)
Latecoere 631 (sea plane)
Latécoère 23 (flying boat)
Latécoère 28
Latécoère 28-1
Latécoère 300
Lear Jet 24A
Learjet 23
Learjet 23A
Learjet 24
Learjet 24A
Learjet 24D
Learjet 24F
Learjet 24XR
Learjet 25
Learjet 25B
Learjet 25C
Learjet 25D
Learjet 31
Learjet 35
Learjet 35A
Learjet 35A-452
Learjet 36A
Learjet 45
Learjet 55
Learjet 60
Learjet C-21A
Learjet35A
Let 410
Let 410 UVP-E10A
Let 410 UVP-E3
Let 410A
Let 410M
Let 410MU
Let 410UVP
Let 410UVP Turbojet / Tupolev TU-134V
Let 410UVP Turolet
Let 410UVP-E
Let 410UVP-E20
Let 410UVP-E4
Let 420UVP-E
Let Aero 45S
Let L-401UVP-20
Let L-410 UVPE-20
Let L-410UVP
Let L-410UVP-E20
Let L410UVP-E20
Let-410UVP-E
Li-2
Li-2 / Li-2T
Liore et Olivier 190
Liore et Olivier H-246 Air Boat
Liore-et-Olivier 213
Lioré-et-Olivier H-13
Lioré-et-Olivier H-242
Lioré-et-Olivier LeO H-13
Lisnov Li-2
Lisunov Li-2
Lisunov Li-2P
Lockheed  188A Electra
Lockheed 049 Consellation
Lockheed 049 Constellation
Lockheed 049-46-21 Constellation
Lockheed 049-46-25 Constellation
Lockheed 10 Electra
Lockheed 1011-200 TriStar
Lockheed 1049C Super Constellation
Lockheed 1049C-55-81 S Constellation
Lockheed 1049E Super Constellation
Lockheed 1049E-55 Super Constellation
Lockheed 1049G Super Constellation
Lockheed 1049G-55 Super Constellation
Lockheed 1049H Super Constellation
Lockheed 1049H-82 Super Constellation
Lockheed 10A Electra
Lockheed 10B Electra
Lockheed 10C Electra
Lockheed 10E Electra
Lockheed 12A
Lockheed 1329 Jetstar 8
Lockheed 1339
Lockheed 14 Electra
Lockheed 14 Super Electra
Lockheed 14-H Super Electra
Lockheed 14-H2 Super Electra
Lockheed 14-WF62 Super Electra
Lockheed 14H Super Electra
Lockheed 1649A Starliner
Lockheed 18 Loadstar
Lockheed 18 LodeStar
Lockheed 18 Lodestar
Lockheed 18-08 Lodestar
Lockheed 18-56 Loadstar
Lockheed 18-56 LodeStar
Lockheed 18-56 Lodestar
Lockheed 188A Electra
Lockheed 188C  Electra
Lockheed 188C Electra
Lockheed 188PF Electra
Lockheed 5 Vega
Lockheed 749 Constellation
Lockheed 749-79-33 Constellation
Lockheed 749-79-34 Constellation
Lockheed 749A Constellation
Lockheed 749A-79 Constellation
Lockheed 749A-79-32 Constellation
Lockheed 749A-79-33 Constellation
Lockheed 749C-79-12 Constellation
Lockheed AC-130A Hercules
Lockheed C-121C Super Constellation
Lockheed C-130
Lockheed C-130 Hercule
Lockheed C-130 Hercules
Lockheed C-130A
Lockheed C-130A Hercules
Lockheed C-130A-II Hercules
Lockheed C-130B
Lockheed C-130B Hercules
Lockheed C-130E
Lockheed C-130E Hercules
Lockheed C-130E-I Hercules
Lockheed C-130H
Lockheed C-130H Hercules
Lockheed C-130H-30
Lockheed C-130H-30 Hercules
Lockheed C-130HF
Lockheed C-130J Hercules
Lockheed C-130K Hercules
Lockheed C-141A
Lockheed C-141A (L.300)
Lockheed C-141B
Lockheed C-141B / Lockheed C141B
Lockheed C-28
Lockheed C-56B Lodestar
Lockheed C-5A
Lockheed C-5A Galaxy
Lockheed C-60 Lodestar
Lockheed C-69 Constellation
Lockheed C121J
Lockheed C130-B Hercules
Lockheed C130B
Lockheed C130D
Lockheed CC-130E
Lockheed CC-130E Hercules
Lockheed Constellation
Lockheed EC-121H
Lockheed EC-121M
Lockheed EC-121P
Lockheed EC-130E Hercules
Lockheed EC-130Q
Lockheed EC121R
Lockheed HC-130H Hercules
Lockheed HC-130P Hercules
Lockheed Hercules C-130
Lockheed Hercules C.1
Lockheed Hercules KC-130R
Lockheed Hercules MC-130H
Lockheed Hudson
Lockheed Hudson A16-97
Lockheed Hudson IIIA
Lockheed Hudson VI
Lockheed KC-130F
Lockheed KC-130T Hercules
Lockheed L 1049G Super Constillation
Lockheed L- 749A Constellation
Lockheed L-049 Constellation
Lockheed L-049-46 Constellation
Lockheed L-049-46-26 Constellation
Lockheed L-100 Hercules
Lockheed L-100-20 Hercules
Lockheed L-100-30 Hercules
Lockheed L-1011
Lockheed L-1011 TriStar 1
Lockheed L-1011-1 TriStar
Lockheed L-1011-100
Lockheed L-1011-200
Lockheed L-1049H Super Constellation
Lockheed L-1649A Starliner
Lockheed L-18 Loadstar
Lockheed L-18-56 Lodestar
Lockheed L-188A Electra
Lockheed L-188AF Electra
Lockheed L-188C Electra
Lockheed L-188CF Electra
Lockheed L-382B Hercules
Lockheed L-649 Constellation
Lockheed L-749 / Cessna 140
Lockheed L-749-79-33 Constellation
Lockheed L-749A Constellation
Lockheed L-749A-79 Constellation
Lockheed L188A Electra
Lockheed MC-130E-Y
Lockheed MC-130H Hercules
Lockheed Martin L-100-10
Lockheed Martin L-100-30 Hercules
Lockheed Orion
Lockheed Orion 9
Lockheed Orion 9D
Lockheed Orion 9E Explorer float plane
Lockheed P-3A
Lockheed P-3A Orion
Lockheed P-3B Orion
Lockheed P-3C / Convair CV-990-30A-5
Lockheed P-3C / Lockheed P-3C
Lockheed P2V-7
Lockheed R7V-1
Lockheed Super Constellation
Lockheed Vega
Lockheed Vega 2
Lockheed Vega 5
Lockheed Vega 5B
Lockheed Vega 5C
Lockheed WC-130H Hercules
Lockheed WV-2
Lockheed WV-2 Super Constellation
Loening C-2C
Loening C-W Air Yaht
M28 Skytruck
MBB BK117 A3
MBB HFB-320 Hansa Jet
MD DC-8-11 / Lockheed  1049 S Const
MD Douglas DC-9-15 / Beechcraft Baron-55
MD Douglas DC-9-31/Piper Cherokee PA-28
MD Douglas DC-9-32 / Piper PA-28-181
MD Douglas DC-9-32/Convair CV-990A
MD-87 / Cessna 525A Citation II
MH-47 Chinook helicopter
MI 172 V5 helicopter
Macchi C-94
Martin 202
Martin 202A / DC-3
Martin 404
Martin M-130 (flying boat)
Martin Mariner
Martin PBM-3S  / Martin PBM-5
Mc Donnell Dougals DC-9
Mc Donnell Douglas 369FF Rotocraft
Mc Donnell Douglas DC-9-32
Mc Donnell Douglas MD-81
Mc Donnell Douglas MD-83
McDonnel F-4E Phantom II
McDonnell DC-9-32
McDonnell Douglas 369D
McDonnell Douglas C-17A Globemaster III
McDonnell Douglas DC-10-10
McDonnell Douglas DC-10-30
McDonnell Douglas DC-10-30CF
McDonnell Douglas DC-8
McDonnell Douglas DC-8 Super 61
McDonnell Douglas DC-8 Super 62
McDonnell Douglas DC-8 Super 63PF
McDonnell Douglas DC-8-12
McDonnell Douglas DC-8-21
McDonnell Douglas DC-8-33
McDonnell Douglas DC-8-43
McDonnell Douglas DC-8-51
McDonnell Douglas DC-8-52
McDonnell Douglas DC-8-53
McDonnell Douglas DC-8-54F37
McDonnell Douglas DC-8-55F
McDonnell Douglas DC-8-61
McDonnell Douglas DC-8-61F
McDonnell Douglas DC-8-62
McDonnell Douglas DC-8-62H
McDonnell Douglas DC-8-63
McDonnell Douglas DC-8-63AF
McDonnell Douglas DC-8-63CF
McDonnell Douglas DC-8-63F
McDonnell Douglas DC-8-71F
McDonnell Douglas DC-8-Super 63CF
McDonnell Douglas DC-8F-54F
McDonnell Douglas DC-8F-55
McDonnell Douglas DC-9 and Cessna 150F
McDonnell Douglas DC-9-14
McDonnell Douglas DC-9-15
McDonnell Douglas DC-9-15RC
McDonnell Douglas DC-9-30
McDonnell Douglas DC-9-31
McDonnell Douglas DC-9-31 / F4-B
McDonnell Douglas DC-9-31 / Trident 3B
McDonnell Douglas DC-9-32
McDonnell Douglas DC-9-33CF
McDonnell Douglas DC-9-33RC
McDonnell Douglas DC-9-51
McDonnell Douglas DC-9-82 / Cessna 441
McDonnell Douglas MD-11
McDonnell Douglas MD-11F
McDonnell Douglas MD-81
McDonnell Douglas MD-82
McDonnell Douglas MD-83
McDonnell Douglas MD-88
McDonnell Douglas MD-90-30
McDonnell-Douglas MD-82
Messerschmitt M-20
Messerschmitt M-20B
Mi 17V-5
Mi 8
Mi-17
Mi-17 Helicopter
Mi-35
Mi-6
Mi-8
Mi-8 helicopter
Mi-8MTV-1
MiG-15 UTI
MiG-23
Mil MI-8T
Mil Mi 8T (helicopter)
Mil Mi-17
Mil Mi-17 ( helicopter)
Mil Mi-17 (helicopter)
Mil Mi-171
Mil Mi-172
Mil Mi-18 Helicopter
Mil Mi-26
Mil Mi-4 / Mil Mi-4
Mil Mi-8
Mil Mi-8 (helicopter)
Mil Mi-8 / Mil Mi-8
Mil Mi-8MTV (helicopter)
Mil Mi-8MTV-1
Mil Mi-8T
Mil Mi-8T (helicopter)
Mil- Mi-17B-5
Military - Ecudorian Air Force
Military - U.S. Air Force
Mitsubish MU-2 uise
Mitsubishi MC-20
Mitsubishi MU 2B 35
Mitsubishi MU-2B
Mitsubishi MU-2B 60 Marquise
Mitsubishi MU-2B-60
Mitsubishi MU-2J
Mitsubishi MU-2L Marquise
NA Rockwell 112
NAMC YS-11A-202
NAMC YS-11A-211
NAMC YS-11A-219
NAMC YS-11A-227
NAMC YS-11A-300F
NAMC YS-11A-500
NAMC-YS-11-111
Nakajima A-T2
Nakajima DC-2
Noorduyn Norseman
Nord 2501 Noratlas
Nord 262
Nord 262A-34
Nord 262A-44
Nord 262C-66
Nord 262E
Norman BN-2A-6
North American B-25D bomber
North American CT-39A Sabreline
North American F-100D-25NA
North American P-51D-15-NA Mustang
Northrop Alpha
Northrop Delta
Northrop F-5A
OFM F-VIIb/3m
PA- 31-350 Chieftain
PA-23-250
PA-34-200 Seneca I
PA-34-220T Seneca III
PAC 750XL
PBY Catalina
PBY-5A Catalina
PBY4-2 Privateer / PB4Y-2 Privateer
PS-1
PS-1 amphibious ASW
PT-LCN
PZL Mielec M28-05PI Skytruck
PZL-Mielec AN-2R
PZL-Mielec M28
Pacific Aerospace
Partenavia P-68C
Partenavia SPA P68C
Pel Air
Piaggio PD-808
Pilatus Britten Norman BN-2A-27 Islander
Pilatus Britten-Norman BN-2A-21 Islander
Pilatus Britten-Norman BN-2B-27 Islander
Pilatus PC-12/45
Pilatus PC-12/47
Pilatus PC-6
Pilatus PC-6 Turbo Porter
Pilatus PC-6 Turbo Porter / Cessna 206
Pilatus PC-6/B2-H2 Turbo-Porter
Pilatus PC-6/B2-H4 Turbo Porter
Pilatus PC6CH2
Pilatus Pc-6C
Pilatus-Britten Norman BN-2A-27 Islander
Pilatus-Britten Norman BN-2B-26 Islander
Pilgrim 100B
Piper Aero Commander 560E
Piper Aerostar 601 / Bell 412SP
Piper Cherokee Arrow  PA-28
Piper Navajo PA-31/ Piper Seminole PA-44
Piper PA-18
Piper PA-23
Piper PA-23-250
Piper PA-23-250 Aztec
Piper PA-24
Piper PA-24-250 Comanche
Piper PA-28
Piper PA-28-161
Piper PA-28-180
Piper PA-28-181
Piper PA-28R
Piper PA-30
Piper PA-30 / Cessna 337A
Piper PA-31
Piper PA-31 350 Navajo Chieftain
Piper PA-31-250
Piper PA-31-310
Piper PA-31-310 Navajo
Piper PA-31-325 Navajo
